Breed,Color,Gender,Age,AdoptionLikelihood
Australian Cattle Dog Mix,Tan/White,Neutered Male,6,1
Cardigan Welsh Corgi Mix,White/Red,Intact Male,4,0
Belgian Malinois,Brown/Tan,Neutered Male,0,1
Catahoula Mix,Brown Brindle/White,Spayed Female,1,1
Labrador Retriever Mix,Red,Neutered Male,4,1
Labrador Retriever Mix,Black/White,Neutered Male,0,1
Rat Terrier Mix,Tricolor,Neutered Male,2,1
Chihuahua Shorthair Mix,Sable,Neutered Male,5,1
Labrador Retriever Mix,Black/White,Intact Male,0,0
Chihuahua Shorthair Mix,Brown/Tan,Neutered Male,2,1
Boxer,Brown Brindle/White,Spayed Female,7,0
Pit Bull Mix,Fawn/White,Intact Female,2,0
Doberman Pinsch,Red/Tan,Neutered Male,1,1
German Shepherd Mix,Brown/Black,Neutered Male,0,1
Border Collie Mix,Brown Brindle/White,Neutered Male,2,1
Australian Kelpie Mix,Black,Intact Female,0,0
Pit Bull Mix,Brown/White,Spayed Female,3,1
Parson Russell Terrier,White/Tricolor,Neutered Male,11,1
Labrador Retriever/Alaskan Husky,Chocolate/White,Spayed Female,1,1
Catahoula Mix,Blue Merle,Spayed Female,2,1
Miniature Poodle Mix,Gray,Spayed Female,7,0
Pit Bull Mix,Brown Brindle/White,Neutered Male,1,1
Australian Shepherd Mix,Buff/White,Neutered Male,0,1
Chihuahua Shorthair Mix,Brown,Neutered Male,6,0
Staffordshire Mix,White/Black,Spayed Female,3,0
Pointer/Pit Bull,White/Black,Intact Female,0,1
Chihuahua Shorthair Mix,Brown/White,Spayed Female,2,0
Chihuahua Shorthair Mix,Black/White,Spayed Female,9,1
German Shepherd,Brown/Black,Neutered Male,6,1
Chihuahua Shorthair Mix,Cream,Spayed Female,2,1
Dachshund Wirehair Mix,Gray/White,Neutered Male,1,1
Chihuahua Shorthair Mix,Tricolor,Neutered Male,6,1
Plott Hound,Brown Brindle/White,Intact Female,0,0
Rat Terrier Mix,White/Tricolor,Spayed Female,1,1
Weimaraner Mix,Blue/White,Spayed Female,0,1
Pit Bull Mix,Blue/White,Spayed Female,1,1
Pit Bull,Blue,Spayed Female,3,0
German Shepherd,Brown/Black,Neutered Male,2,1
Chihuahua Shorthair Mix,Brown Brindle,Spayed Female,8,0
Siberian Husky Mix,White/Gray,Spayed Female,0,1
Australian Cattle Dog Mix,Tan,Spayed Female,0,1
Chihuahua Longhair Mix,Black,Neutered Male,0,1
Siberian Husky Mix,White/Black,Spayed Female,1,0
Chihuahua Shorthair Mix,Tricolor,Spayed Female,2,1
Pointer Mix,White/Black,Neutered Male,0,0
Pit Bull Mix,White/Black,Spayed Female,12,1
Chihuahua Shorthair,Red/Black,Neutered Male,0,1
Labrador Retriever Mix,Black/White,Intact Female,0,0
Great Pyrenees/Labrador Retriever,White/Black,Intact Female,0,0
Pointer Mix,Brown Brindle/White,Neutered Male,2,0
German Shepherd Mix,Black/Tan,Spayed Female,0,1
Black Mouth Cur Mix,Brown/Black,Spayed Female,0,1
Dachshund Longhair Mix,Brown,Neutered Male,0,0
Border Terrier Mix,Cream,Neutered Male,1,0
Pit Bull Mix,Fawn,Spayed Female,0,1
Chihuahua Shorthair Mix,Tan/White,Spayed Female,0,1
Basset Hound Mix,Black/White,Neutered Male,2,0
Pit Bull Mix,White/Black,Intact Male,0,0
Pit Bull Mix,Black/White,Spayed Female,0,1
Pit Bull Mix,Blue/White,Neutered Male,2,1
Labrador Retriever Mix,Black,Neutered Male,7,0
Wire Hair Fox Terrier,White/Tan,Spayed Female,2,1
Labrador Retriever Mix,Black/Black,Intact Female,0,0
Bull Terrier Miniature Mix,Black/White,Spayed Female,1,1
Pit Bull Mix,Brown Brindle/White,Neutered Male,0,1
Pit Bull/Basset Hound,Brown/White,Neutered Male,4,1
Pit Bull Mix,Brown/White,Spayed Female,6,1
Border Collie Mix,Black/White,Neutered Male,8,0
Chihuahua Shorthair Mix,Black,Spayed Female,1,1
German Shepherd Mix,Black/Red,Intact Male,1,0
Pit Bull Mix,White/Brown,Spayed Female,0,1
German Shepherd Mix,Brown,Spayed Female,0,1
Miniature Schnauzer Mix,Tricolor,Spayed Female,0,1
Pit Bull Mix,Blue/White,Neutered Male,5,1
Great Pyrenees/Anatol Shepherd,Tan/White,Neutered Male,2,0
Chihuahua Shorthair,Tan,Neutered Male,7,0
Pit Bull Mix,Brown Brindle/White,Spayed Female,0,1
Australian Cattle Dog Mix,Brown/White,Spayed Female,0,1
Labrador Retriever Mix,Brown/White,Neutered Male,4,1
Pit Bull Mix,Gray/White,Neutered Male,2,1
Cairn Terrier Mix,Tricolor,Neutered Male,1,1
Yorkshire Terrier Mix,Black/Brown,Neutered Male,1,1
Pit Bull Mix,Blue/White,Neutered Male,0,0
Labrador Retriever Mix,Brown,Spayed Female,2,1
Greyhound Mix,Brown Brindle,Spayed Female,2,1
Labrador Retriever Mix,Yellow,Neutered Male,6,1
Labrador Retriever Mix,Brown/White,Spayed Female,0,1
Yorkshire Terrier/Miniature Poodle,Black/Gray,Neutered Male,6,1
Border Terrier Mix,White,Intact Female,3,0
Australian Shepherd Mix,Tricolor,Neutered Male,2,1
Catahoula Mix,Brown Merle/White,Neutered Male,0,1
Pit Bull Mix,White/Black,Intact Male,0,0
German Shepherd Mix,Brown,Spayed Female,5,0
Chihuahua Shorthair/Dachshund,Tricolor,Intact Male,0,0
Miniature Poodle,White,Intact Male,5,0
Pit Bull,Blue/White,Intact Male,3,0
Chihuahua Shorthair Mix,Brown,Neutered Male,6,1
Miniature Poodle Mix,White,Spayed Female,3,1
Labrador Retriever Mix,Chocolate/White,Neutered Male,0,1
Border Collie Mix,White/Black,Intact Male,3,0
Queensland Heeler Mix,Black,Neutered Male,0,1
Catahoula/Boxer,Black/White,Spayed Female,4,1
Lhasa Apso,White,Intact Male,3,0
Labrador Retriever Mix,Yellow/Black,Neutered Male,2,1
Australian Cattle Dog Mix,Blue Tick,Spayed Female,4,1
Pit Bull Mix,Tan,Neutered Male,0,1
Siberian Husky/Anatol Shepherd,Black/White,Neutered Male,2,1
Siberian Husky,Brown/Tan,Intact Female,0,0
Wire Hair Fox Terrier,White/Brown,Neutered Male,2,0
Basset Hound Mix,White/Black,Neutered Male,3,1
Chihuahua Shorthair Mix,Brown/White,Neutered Male,2,0
Bruss Griffon/Maltese,White/Cream,Spayed Female,1,1
Labrador Retriever Mix,Brown,Unknown,0,0
Australian Cattle Dog Mix,Black/White,Intact Female,0,0
Boxer,Brown Brindle/White,Neutered Male,5,1
Pit Bull Mix,Blue/White,Spayed Female,1,1
Labrador Retriever Mix,Black,Spayed Female,0,1
Basenji,Black/Tan,Neutered Male,1,1
Scottish Terrier Mix,Brown Brindle,Intact Male,0,0
Scottish Terrier Mix,Brown Brindle,Intact Male,0,0
Beagle Mix,Black/Brown,Spayed Female,7,1
Rat Terrier Mix,White/Tricolor,Spayed Female,8,1
Neapolitan Mastiff Mix,Blue/White,Neutered Male,2,1
Pit Bull Mix,Fawn/White,Spayed Female,1,1
Pit Bull Mix,Brown/White,Spayed Female,1,1
Chihuahua Shorthair Mix,Black/Cream,Neutered Male,10,0
Labrador Retriever/Rottweiler,Black,Intact Male,0,0
Collie Rough/Great Pyrenees,Tan/White,Spayed Female,2,1
Great Pyrenees Mix,White,Spayed Female,0,0
Chihuahua Shorthair Mix,Black,Spayed Female,0,1
Pug,Black/White,Neutered Male,11,0
Flat Coat Retriever/Papillon,Brown,Neutered Male,0,1
German Shepherd Mix,Cream,Intact Male,0,0
Mastiff Mix,Brown,Spayed Female,1,1
Pit Bull Mix,White/Brown Brindle,Intact Female,3,0
Australian Cattle Dog/Belgian Malinois,Black Brindle/Black,Spayed Female,2,1
Miniature Poodle,White,Neutered Male,12,1
Golden Retriever Mix,Brown,Neutered Male,0,1
Chihuahua Shorthair Mix,Black,Intact Female,0,0
Border Collie Mix,Black/White,Neutered Male,2,1
Chihuahua Shorthair Mix,Tricolor,Neutered Male,7,1
Australian Kelpie Mix,Brown Brindle,Spayed Female,1,1
German Shepherd Mix,Black/Brown,Spayed Female,8,0
Cairn Terrier Mix,White/Brown,Spayed Female,3,1
Australian Cattle Dog Mix,Red Merle/White,Spayed Female,6,1
American Staffordshire Terrier Mix,White/Black,Neutered Male,1,0
Siberian Husky/German Shepherd,Black/White,Spayed Female,3,1
Rottweiler/Labrador Retriever,Black/Brown,Neutered Male,0,1
Pit Bull Mix,Brown/White,Intact Female,1,0
Pit Bull Mix,Blue/White,Neutered Male,1,1
Collie Rough/Labrador Retriever,Brown/Red,Neutered Male,1,1
American Pit Bull Terrier Mix,Blue/White,Intact Male,2,0
Boxer Mix,Tricolor,Spayed Female,1,1
Labrador Retriever/Great Pyrenees,Tricolor,Intact Female,0,0
Border Collie Mix,Black/White,Neutered Male,0,1
German Shepherd Mix,Black/Brown,Neutered Male,9,1
Cairn Terrier Mix,Brown,Spayed Female,0,1
Border Collie Mix,Brown/White,Intact Female,2,1
Pit Bull Mix,White/Brown,Intact Male,0,0
Border Collie Mix,Tan/Cream,Spayed Female,0,1
Australian Kelpie Mix,Black,Intact Male,0,0
Rat Terrier Mix,White/Black,Intact Female,8,0
Labrador Retriever Mix,Tan/White,Neutered Male,0,1
Chihuahua Shorthair Mix,Buff,Intact Male,0,0
Basset Hound,Tan,Neutered Male,6,1
Miniature Poodle/Dachshund,Black/White,Intact Female,0,0
Dachshund Longhair Mix,Red/White,Neutered Male,10,0
Pit Bull Mix,Tan,Intact Female,1,0
Alaskan Husky Mix,Red/White,Spayed Female,2,1
Yorkshire Terrier Mix,Black/Tan,Neutered Male,4,1
Chihuahua Shorthair/Beagle,Brown/Black,Spayed Female,0,1
Labrador Retriever,Black/White,Intact Female,2,0
Beagle Mix,Black/Tan,Intact Male,1,0
Pit Bull,Blue/White,Intact Female,4,0
Collie Smooth Mix,Tricolor,Spayed Female,0,1
Border Collie/Bull Terrier,Black/White,Neutered Male,0,1
Pit Bull Mix,Fawn/Tan,Neutered Male,0,1
Anatol Shepherd Mix,Tan,Spayed Female,0,1
Chihuahua Shorthair Mix,Brown/White,Spayed Female,2,1
Chihuahua Shorthair Mix,Brown/Gray,Intact Male,8,1
Yorkshire Terrier,Brown/Black,Neutered Male,2,1
Pit Bull Mix,Tan/White,Neutered Male,2,1
Anatol Shepherd Mix,Brown/White,Spayed Female,1,0
English Bulldog,Chocolate/White,Neutered Male,1,1
Labrador Retriever,Tan,Neutered Male,4,0
Labrador Retriever Mix,Black,Spayed Female,10,1
Pit Bull Mix,Gray/White,Spayed Female,1,1
American Bulldog,Blue/White,Intact Male,1,0
Miniature Schnauzer/Miniature Poodle,Gray,Spayed Female,10,1
American Pit Bull Terrier Mix,White/Tan,Spayed Female,0,1
Jack Russell Terrier/Labrador Retriever,White/Brown,Spayed Female,0,1
Pug Mix,Tan,Intact Female,3,0
Cardigan Welsh Corgi Mix,White/Brown,Intact Male,0,0
Chihuahua Shorthair,White,Neutered Male,0,1
Labrador Retriever Mix,Black/White,Spayed Female,0,1
Australian Shepherd/Chow Chow,Brown/Black,Neutered Male,2,1
German Shepherd Mix,Black/White,Spayed Female,2,0
Pit Bull Mix,Tan,Spayed Female,5,1
Pug/Chihuahua Shorthair,Black/White,Neutered Male,0,1
Pit Bull Mix,Blue,Spayed Female,2,1
Chihuahua Shorthair Mix,Brown/White,Neutered Male,0,1
Labrador Retriever Mix,Black/White,Spayed Female,0,1
Border Collie Mix,White/Cream,Unknown,0,0
Siberian Husky Mix,White,Neutered Male,1,1
Chihuahua Shorthair Mix,White/Red,Spayed Female,0,0
Rottweiler/Labrador Retriever,Black/Tan,Neutered Male,1,0
Pekingese/Catahoula,White/Brown Brindle,Neutered Male,1,1
Labrador Retriever,Brown/White,Intact Male,0,0
Plott Hound/Blue Lacy,Black Brindle,Spayed Female,1,1
Blue Lacy Mix,Blue/White,Spayed Female,1,1
Dachshund Longhair Mix,Tricolor/Tan,Neutered Male,0,1
Catahoula Mix,Blue Merle,Intact Male,0,0
Shih Tzu Mix,Tricolor,Neutered Male,4,1
Pit Bull Mix,Brown Brindle/White,Spayed Female,0,1
Pit Bull Mix,Blue,Spayed Female,3,1
Chihuahua Shorthair/Dachshund,Chocolate/White,Neutered Male,0,1
Australian Cattle Dog Mix,Black/White,Neutered Male,2,1
Miniature Poodle Mix,White,Spayed Female,5,1
Pit Bull Mix,Brown Brindle,Neutered Male,1,1
German Shepherd Mix,Black/Brown,Spayed Female,0,1
Pit Bull Mix,Brown Brindle/White,Spayed Female,0,0
Bloodhound,Red,Neutered Male,2,1
Pit Bull/Australian Cattle Dog,White/Tan,Neutered Male,2,1
Finnish Spitz/Cardigan Welsh Corgi,Brown/Cream,Neutered Male,1,1
Labrador Retriever/Pit Bull,Black/White,Spayed Female,0,1
Miniature Schnauzer Mix,Black/Tan,Spayed Female,2,1
Golden Retriever,Red,Spayed Female,1,0
Yorkshire Terrier Mix,Black/Brown,Neutered Male,1,1
Pit Bull/Rhod Ridgeback,Red/Black,Neutered Male,2,0
Pit Bull Mix,Blue/White,Neutered Male,5,0
Pit Bull Mix,Tan,Neutered Male,1,1
Labrador Retriever Mix,Tan,Neutered Male,2,1
Boxer Mix,Brown Brindle,Spayed Female,0,1
Flat Coat Retriever Mix,Black/Tricolor,Neutered Male,1,1
Australian Cattle Dog Mix,Tan,Spayed Female,0,1
Pit Bull,Blue/White,Spayed Female,1,1
Siberian Husky,Red/White,Neutered Male,2,0
Akita/Pit Bull,Tan/White,Neutered Male,2,0
Siberian Husky Mix,Black/Cream,Spayed Female,6,0
Cardigan Welsh Corgi Mix,Tan/White,Neutered Male,1,1
Australian Cattle Dog,Red Tick/White,Spayed Female,0,1
Cardigan Welsh Corgi Mix,Black/White,Intact Male,2,0
American Bulldog/Pit Bull,White/Black,Neutered Male,1,0
Chihuahua Shorthair Mix,Brown,Spayed Female,13,0
Catahoula Mix,Gray/Black,Intact Female,0,0
Boxer Mix,Brown Brindle,Spayed Female,5,0
Border Collie Mix,Black/White,Spayed Female,0,0
Labrador Retriever Mix,Cream/White,Neutered Male,5,1
Pointer Mix,Black/White,Neutered Male,0,1
Mastiff,Brown Brindle/White,Neutered Male,0,0
German Shepherd,Black,Spayed Female,3,1
Yorkshire Terrier,Tan/Black,Spayed Female,2,1
Labrador Retriever Mix,Black/Tan,Spayed Female,0,1
Dachshund Mix,Red,Neutered Male,2,1
Australian Cattle Dog Mix,Fawn,Neutered Male,4,1
Catahoula Mix,White/Black,Spayed Female,1,1
Standard Poodle/Labrador Retriever,Chocolate,Intact Female,5,0
Australian Shepherd Mix,Sable/White,Neutered Male,0,1
German Shepherd Mix,Tan,Spayed Female,1,0
Chihuahua Longhair Mix,Black/Tan,Intact Male,1,1
Australian Kelpie Mix,Black,Neutered Male,1,1
Anatol Shepherd Mix,Sable,Intact Male,3,0
Miniature Poodle/Bichon Frise,Cream,Spayed Female,2,1
Alaskan Husky/German Shepherd,Tricolor,Neutered Male,6,1
Great Pyrenees,White,Intact Female,0,0
Pit Bull Mix,Gray/White,Intact Male,2,0
German Shepherd Mix,Brown/Black,Intact Male,9,0
Chihuahua Shorthair,Tan/White,Intact Female,1,0
German Shepherd/Labrador Retriever,Sable/White,Spayed Female,0,1
Chihuahua Shorthair Mix,Black/Tan,Neutered Male,2,1
Pit Bull Mix,Tan/White,Intact Female,3,0
Siberian Husky Mix,Tan/Cream,Neutered Male,0,1
Labrador Retriever Mix,Black/Brown,Neutered Male,5,0
Border Terrier,Brown/White,Neutered Male,0,1
Cardigan Welsh Corgi Mix,Red/White,Neutered Male,1,1
Chihuahua Shorthair Mix,Tan,Intact Female,0,0
German Shepherd/Chow Chow,Tan/Gray,Intact Male,15,1
Labrador Retriever Mix,Tan,Neutered Male,2,1
Border Collie Mix,White/Black,Spayed Female,0,1
American Pit Bull Terrier Mix,Red/White,Intact Male,2,0
Australian Cattle Dog Mix,Tricolor,Neutered Male,0,1
Border Terrier Mix,Tan/White,Neutered Male,2,1
Labrador Retriever Mix,Black/White,Spayed Female,2,1
Staffordshire Mix,Chocolate/Tan,Spayed Female,1,1
Chihuahua Shorthair Mix,Chocolate/Tan,Spayed Female,0,1
Chihuahua Shorthair Mix,Black/White,Neutered Male,4,0
Labrador Retriever Mix,Brown Brindle,Neutered Male,11,0
Siberian Husky Mix,Tricolor,Intact Female,1,0
German Shepherd Mix,Red,Neutered Male,0,1
Staffordshire Mix,Brown/White,Neutered Male,1,1
Great Pyrenees/Catahoula,White/Brown Merle,Spayed Female,0,1
Scottish Terrier Mix,Black,Neutered Male,10,0
Chihuahua Shorthair Mix,White/Brown,Intact Female,3,0
Pit Bull Mix,Brown Brindle,Neutered Male,1,1
Patterdale Terr Mix,Black/White,Spayed Female,0,1
Chihuahua Shorthair,Tan/White,Spayed Female,4,1
Chihuahua Shorthair Mix,Black/White,Unknown,0,0
Labrador Retriever/Boxer,White/Cream,Neutered Male,0,1
Siberian Husky,Red/Tan,Neutered Male,0,0
Staffordshire Mix,Black/Brown Brindle,Spayed Female,2,0
Pit Bull Mix,Black,Spayed Female,0,1
Pit Bull/Labrador Retriever,Black/Brown,Spayed Female,1,1
Labrador Retriever Mix,Black,Neutered Male,0,1
Australian Cattle Dog Mix,Red Merle,Neutered Male,5,1
Pit Bull Mix,White/Brown,Intact Female,0,0
Dachshund/Rat Terrier,Tricolor,Spayed Female,0,0
Miniature Pinscher Mix,Black/Brown,Intact Female,2,0
Labrador Retriever Mix,Brown Brindle,Unknown,0,0
Siberian Husky,Black/White,Spayed Female,2,1
Miniature Schnauzer Mix,Black/Gray,Spayed Female,5,0
American Bulldog,White,Neutered Male,1,0
Labrador Retriever Mix,Chocolate/White,Intact Female,0,0
Basset Hound Mix,White/Tricolor,Neutered Male,1,1
Catahoula,Tricolor,Neutered Male,0,1
Pit Bull Mix,Blue,Neutered Male,1,0
Pointer Mix,White/Red,Intact Female,0,0
Anatol Shepherd Mix,Tan/Black,Spayed Female,4,1
Pit Bull Mix,Blue/White,Spayed Female,5,1
Queensland Heeler Mix,Buff,Neutered Male,0,1
Pbgv Mix,Tan/White,Neutered Male,1,1
Chihuahua Shorthair Mix,Red/White,Neutered Male,1,1
Labrador Retriever Mix,Black/White,Spayed Female,0,1
Yorkshire Terrier Mix,Black/White,Intact Female,0,0
Dachshund/Plott Hound,Brown/White,Neutered Male,0,1
Boxer,Brown Brindle/White,Intact Male,6,0
Labrador Retriever,Black/White,Neutered Male,7,1
German Shepherd/Labrador Retriever,Blue/Gray,Spayed Female,0,1
Great Pyrenees Mix,White,Intact Female,0,0
Boxer Mix,Tan/White,Neutered Male,2,1
Anatol Shepherd,Tricolor/White,Neutered Male,0,1
Pit Bull Mix,Brown/White,Intact Female,2,0
Boxer Mix,Brown Brindle/White,Spayed Female,0,1
Great Pyrenees Mix,White,Spayed Female,2,1
Cocker Spaniel Mix,Red,Spayed Female,2,0
Chihuahua Shorthair Mix,Cream,Spayed Female,3,1
Labrador Retriever Mix,White/Brown,Neutered Male,0,1
Cairn Terrier Mix,Black/Tan,Intact Female,0,0
Labrador Retriever Mix,Tan,Spayed Female,2,1
Cairn Terrier Mix,White,Spayed Female,1,1
Beagle,Orange/White,Neutered Male,0,0
Pomeranian Mix,Red,Neutered Male,2,1
Shih Tzu/Affenpinscher,Black/White,Spayed Female,3,0
Shih Tzu Mix,Black/White,Neutered Male,13,0
Australian Cattle Dog Mix,Black/White,Spayed Female,0,1
Australian Cattle Dog Mix,White,Spayed Female,0,1
Catahoula/Beagle,White/Tan,Intact Male,0,0
Miniature Poodle Mix,White,Neutered Male,2,1
Boykin Span Mix,Liver/White,Neutered Male,2,1
Pit Bull Mix,Brown Brindle/White,Neutered Male,2,0
Tibetan Spaniel Mix,Sable/White,Neutered Male,1,1
Boston Terrier/Chihuahua Shorthair,Black/Brown Brindle,Spayed Female,5,0
Beagle Mix,Sable/White,Neutered Male,12,1
Pit Bull Mix,Black/White,Spayed Female,0,1
Labrador Retriever Mix,Yellow,Neutered Male,14,0
German Shepherd Mix,Brown/Black,Neutered Male,1,1
Labrador Retriever,Black/White,Intact Male,0,0
Black Mouth Cur Mix,Brown/Black,Neutered Male,3,1
Australian Cattle Dog/Labrador Retriever,Black/White,Neutered Male,1,1
Catahoula Mix,Blue Merle/White,Spayed Female,2,1
Cavalier Span/Toy Poodle,White,Neutered Male,2,0
Miniature Poodle Mix,White,Neutered Male,3,1
Labrador Retriever/Border Collie,Black/White,Spayed Female,2,1
Pit Bull Mix,Brown/White,Intact Female,1,0
Pit Bull,Tan,Spayed Female,5,0
English Shepherd Mix,Black/Brown,Spayed Female,7,1
Great Pyrenees Mix,White,Intact Female,0,0
Black Mouth Cur Mix,Tan/Black,Spayed Female,0,1
Labrador Retriever,Chocolate,Neutered Male,1,0
Pit Bull Mix,Brown/White,Neutered Male,3,1
Pit Bull Mix,White,Intact Female,1,0
Chihuahua Shorthair/Dachshund,Red/White,Neutered Male,2,1
Chihuahua Shorthair Mix,Tan,Spayed Female,2,1
Great Pyrenees Mix,White/Gray,Intact Male,0,0
Labrador Retriever Mix,Black/White,Neutered Male,0,1
Jack Russell Terrier Mix,Black/White,Intact Male,1,0
Labrador Retriever/Rat Terrier,Tan,Spayed Female,3,1
Labrador Retriever Mix,Brown Brindle,Neutered Male,0,1
German Shepherd Mix,Black/Brown Brindle,Spayed Female,2,0
American Staffordshire Terrier,Brown/White,Neutered Male,5,1
Border Collie Mix,White/Tan,Spayed Female,1,1
Chihuahua Shorthair Mix,Black/White,Intact Female,0,0
Chihuahua Shorthair Mix,Red,Neutered Male,2,0
Pit Bull Mix,Black/White,Neutered Male,1,1
German Shepherd,Black/Tan,Spayed Female,0,1
Labrador Retriever Mix,Brown/Black,Neutered Male,6,0
Miniature Schnauzer Mix,Black,Neutered Male,10,0
Beauceron Mix,Black/Brown,Spayed Female,4,1
Chihuahua Shorthair/Pomeranian,White/Brown,Neutered Male,0,1
Staffordshire Mix,Gray,Spayed Female,1,1
Chihuahua Longhair/Pug,Tan/Tricolor,Neutered Male,2,1
American Bulldog Mix,White/Brown,Spayed Female,0,1
Great Pyrenees Mix,Brown/White,Neutered Male,13,0
Labrador Retriever Mix,Black/White,Neutered Male,2,0
Carolina Dog Mix,Tan/Black,Neutered Male,0,1
Australian Cattle Dog,White/Brown,Intact Female,0,0
Labrador Retriever Mix,Chocolate/Tan,Intact Male,0,0
Anatol Shepherd Mix,Tan/White,Neutered Male,0,1
Staffordshire Mix,Brown/White,Neutered Male,8,1
Pit Bull,White/Brown,Intact Male,2,0
Border Collie Mix,Black/White,Spayed Female,4,0
Labrador Retriever,Black,Intact Male,0,0
Black Mouth Cur Mix,Tan,Spayed Female,0,1
Miniature Poodle Mix,Buff,Spayed Female,2,1
German Shepherd Mix,Black/Tan,Spayed Female,0,1
German Shepherd/Pit Bull,Brown Brindle,Intact Male,3,1
Australian Cattle Dog Mix,White/Black,Neutered Male,5,1
Pit Bull/Black Mouth Cur,Tan/White,Neutered Male,0,1
Catahoula Mix,Brown/White,Neutered Male,0,1
Pit Bull Mix,Brown Brindle/White,Intact Female,1,1
Chihuahua Longhair Mix,White/Black,Neutered Male,5,1
Australian Shepherd/Border Collie,Sable/White,Neutered Male,0,1
Labrador Retriever Mix,Brown/White,Spayed Female,0,0
Pit Bull,Tan,Neutered Male,2,1
Cairn Terrier,White,Spayed Female,1,1
Siberian Husky Mix,Black/White,Intact Female,2,0
American Bulldog Mix,Fawn/White,Intact Male,1,1
Labrador Retriever Mix,White/Tan,Intact Female,0,0
German Shorthair Pointer,White/Black Brindle,Neutered Male,1,1
Australian Cattle Dog Mix,White/Red,Spayed Female,5,0
American Bulldog/Labrador Retriever,White/Brown,Neutered Male,2,1
Pit Bull Mix,White/Blue,Spayed Female,3,1
Labrador Retriever Mix,Tan/White,Spayed Female,0,1
Glen Of Imaal Mix,Black,Spayed Female,2,1
Pit Bull,Brown/White,Spayed Female,2,1
Labrador Retriever Mix,Yellow,Neutered Male,0,1
Flat Coat Retriever/Labrador Retriever,White/Black,Spayed Female,0,1
Labrador Retriever/Great Pyrenees,Red/White,Neutered Male,2,1
Black Mouth Cur/Blue Lacy,Sable,Spayed Female,0,1
English Cocker Spaniel Mix,Black/White,Neutered Male,10,0
Rottweiler Mix,Black/Brown,Spayed Female,0,1
German Shepherd Mix,Buff,Neutered Male,7,1
Labrador Retriever,Brown/White,Intact Male,2,0
Pit Bull Mix,White/Blue,Spayed Female,2,0
Labrador Retriever/German Shepherd,Black,Spayed Female,0,1
Chihuahua Shorthair Mix,Tan/White,Neutered Male,1,1
Finnish Spitz,Red,Spayed Female,2,1
Beagle Mix,Tricolor,Spayed Female,3,1
Border Collie Mix,Black,Neutered Male,0,1
Australian Cattle Dog Mix,Tricolor,Intact Female,0,0
Labrador Retriever Mix,Brown/White,Spayed Female,2,1
Pit Bull Mix,Black/White,Spayed Female,1,0
Chihuahua Shorthair Mix,White/Tan,Spayed Female,1,0
Border Collie Mix,White/Black,Intact Male,0,0
Australian Cattle Dog Mix,White/Black,Spayed Female,0,1
Australian Kelpie Mix,Brown Brindle,Neutered Male,1,1
Dachshund Mix,Tan/White,Spayed Female,0,1
Australian Shepherd Mix,White/Brown,Spayed Female,1,1
Miniature Schnauzer Mix,Tan/Tricolor,Intact Male,1,0
Clumber Spaniel,White/Brown,Neutered Male,2,1
Basenji Mix,Brown Brindle/White,Neutered Male,0,1
Catahoula Mix,Fawn/White,Spayed Female,1,1
Blue Lacy Mix,Blue/White,Neutered Male,2,1
Boxer,White/Brown Brindle,Spayed Female,8,0
Rottweiler,Black/Brown,Neutered Male,2,1
German Shepherd/Doberman Pinsch,Black/Tan,Neutered Male,1,1
Chihuahua Shorthair Mix,Black/White,Spayed Female,2,1
Siberian Husky/Australian Cattle Dog,Brown/White,Neutered Male,0,0
Plott Hound Mix,Brown/White,Spayed Female,0,1
Black Mouth Cur Mix,Brown/White,Intact Female,1,0
Chihuahua Shorthair Mix,Tan,Neutered Male,5,1
Labrador Retriever Mix,Black,Neutered Male,2,0
Great Pyrenees Mix,White,Intact Female,0,0
Border Collie/German Shepherd,Black,Neutered Male,2,0
German Shepherd Mix,Brown/Black,Spayed Female,10,0
Dachshund/Chihuahua Shorthair,Fawn,Intact Female,1,0
Labrador Retriever Mix,Brown/White,Neutered Male,0,1
Pit Bull Mix,White/Apricot,Spayed Female,0,1
Dachshund Longhair Mix,Black/Brown,Neutered Male,5,0
German Shepherd Mix,Black/Tan,Intact Male,0,0
Chihuahua Shorthair Mix,Red,Spayed Female,1,1
Beagle Mix,White/Brown,Neutered Male,2,0
Border Collie/Australian Cattle Dog,Black/White,Spayed Female,3,0
Great Pyrenees Mix,Tan,Spayed Female,2,1
Chihuahua Shorthair Mix,White,Neutered Male,0,1
Border Collie Mix,Black/White,Spayed Female,0,0
Labrador Retriever Mix,Tan/White,Intact Male,0,0
American Pit Bull Terrier Mix,Blue/White,Spayed Female,1,1
Labrador Retriever Mix,Yellow,Intact Female,0,0
Australian Cattle Dog/Pit Bull,White/Black,Spayed Female,2,0
German Shepherd,Black/Red,Neutered Male,2,1
Australian Kelpie Mix,Chocolate/White,Spayed Female,0,1
Chihuahua Shorthair/Collie Smooth,Brown,Neutered Male,0,1
German Shepherd/Labrador Retriever,Red/White,Neutered Male,1,0
Pit Bull Mix,Black/White,Neutered Male,0,1
Labrador Retriever Mix,Black/White,Intact Male,2,0
Dachshund/Chihuahua Shorthair,Brown Brindle/White,Intact Male,1,0
Bloodhound/Great Pyrenees,Black/Tricolor,Neutered Male,1,1
Miniature Schnauzer/Miniature Poodle,Brown/White,Spayed Female,10,0
Mastiff Mix,Blue/White,Neutered Male,3,1
Dachshund Mix,Black,Neutered Male,1,1
